Game_ID,Player_ID,Points,Dates
1,1,120,2021-08-01
1,2,150,2021-08-01
1,3,162,2021-08-01
1,4,142,2021-08-01
1,5,171,2021-08-01
1,6,136,2021-08-01
1,7,154,2021-08-01
1,8,127,2021-08-01
1,9,174,2021-08-01
1,10,156,2021-08-01
1,11,116,2021-08-01
1,12,120,2021-08-01
1,13,130,2021-08-01
1,14,159,2021-08-01
1,15,195,2021-08-01
1,16,182,2021-08-01
1,17,92,2021-08-01
1,18,154,2021-08-01
1,19,137,2021-08-01
1,20,150,2021-08-01
1,21,98,2021-08-01
1,22,148,2021-08-01
1,23,167,2021-08-01
1,24,120,2021-08-01
1,25,83,2021-08-01
1,26,171,2021-08-01
1,27,106,2021-08-01
1,28,125,2021-08-01
1,29,140,2021-08-01
1,30,125,2021-08-01
1,31,112,2021-08-01
1,32,163,2021-08-01
1,33,113,2021-08-01
1,34,101,2021-08-01
1,35,170,2021-08-01
1,36,196,2021-08-01
1,37,80,2021-08-01
1,38,155,2021-08-01
1,39,181,2021-08-01
1,40,189,2021-08-01
1,41,101,2021-08-01
1,42,160,2021-08-01
1,43,123,2021-08-01
1,44,91,2021-08-01
1,45,167,2021-08-01
1,46,127,2021-08-01
1,47,122,2021-08-01
1,48,156,2021-08-01
1,49,106,2021-08-01
1,50,154,2021-08-01
1,51,160,2021-08-01
1,52,178,2021-08-01
1,53,142,2021-08-01
1,54,103,2021-08-01
1,55,88,2021-08-01
1,56,192,2021-08-01
1,57,127,2021-08-01
1,58,140,2021-08-01
1,59,102,2021-08-01
1,60,88,2021-08-01
1,61,120,2021-08-01
1,62,200,2021-08-01
1,63,165,2021-08-01
1,64,83,2021-08-01
1,65,133,2021-08-01
1,66,173,2021-08-01
1,67,130,2021-08-01
1,68,165,2021-08-01
1,69,173,2021-08-01
1,70,170,2021-08-01
1,71,199,2021-08-01
1,72,106,2021-08-01
1,73,157,2021-08-01
1,74,145,2021-08-01
1,75,199,2021-08-01
2,1,140,2021-08-01
2,2,186,2021-08-01
2,3,110,2021-08-01
2,4,111,2021-08-01
2,5,104,2021-08-01
2,6,95,2021-08-01
2,7,120,2021-08-01
2,8,174,2021-08-01
2,9,164,2021-08-01
2,10,140,2021-08-01
2,11,121,2021-08-01
2,12,116,2021-08-01
2,13,160,2021-08-01
2,14,168,2021-08-01
2,15,78,2021-08-01
2,16,119,2021-08-01
2,17,186,2021-08-01
2,18,80,2021-08-01
2,19,79,2021-08-01
2,20,120,2021-08-01
2,21,137,2021-08-01
2,22,82,2021-08-01
2,23,87,2021-08-01
2,24,85,2021-08-01
2,25,105,2021-08-01
2,26,182,2021-08-01
2,27,139,2021-08-01
2,28,187,2021-08-01
2,29,79,2021-08-01
2,30,77,2021-08-01
2,31,79,2021-08-01
2,32,199,2021-08-01
2,33,161,2021-08-01
2,34,98,2021-08-01
2,35,116,2021-08-01
2,36,91,2021-08-01
2,37,200,2021-08-01
2,38,95,2021-08-01
2,39,113,2021-08-01
2,40,109,2021-08-01
2,41,146,2021-08-01
2,42,88,2021-08-01
2,43,99,2021-08-01
2,44,103,2021-08-01
2,45,170,2021-08-01
2,46,167,2021-08-01
2,47,119,2021-08-01
2,48,150,2021-08-01
2,49,83,2021-08-01
2,50,79,2021-08-01
2,51,145,2021-08-01
2,52,106,2021-08-01
2,53,185,2021-08-01
2,54,98,2021-08-01
2,55,171,2021-08-01
2,56,116,2021-08-01
